Date,EURUSD=X,USDJPY=X,spread,velocity
2010-06-08,1.197203,91.41,-89.773,0.04936103
2010-06-09,1.199199,91.365,-89.79212,0.04361251
2010-06-10,1.210903,91.309,-89.80265,0.03906754
2010-06-11,1.211402,91.62,-89.86348,0.03068172
2010-06-14,1.221807,91.62,-89.92037,0.0233311
2010-06-15,1.231906,91.474,-89.95048,0.0188451
2010-06-16,1.231194,91.396,-89.96775,0.01581365
2010-06-17,1.238206,90.84,-89.89771,0.02036589
2010-06-18,1.239296,90.7,-89.81281,0.02578258
2010-06-21,1.231603,90.995,-89.78337,0.02608978
2010-06-22,1.227506,90.54,-89.68839,0.03187238
2010-06-23,1.231906,89.91,-89.50498,0.04459274
2010-06-24,1.233745,89.63,-89.29557,0.05842746
2010-06-25,1.237302,89.15,-89.03201,0.07564645
2010-06-28,1.227702,89.313,-88.82145,0.08697108
2010-06-29,1.218635,88.649,-88.5325,0.1039258
2010-06-30,1.223002,88.43,-88.23937,0.1198074
2010-07-01,1.25075,87.6,-87.84538,0.1428232
2010-07-02,1.257103,87.79,-87.5214,0.1580298
2010-07-05,1.253698,87.625,-87.20971,0.1709275
2010-07-06,1.262403,87.48,-86.9116,0.1816037
2010-07-07,1.263312,87.68,-86.68147,0.185677
2010-07-08,1.269406,88.41,-86.59566,0.177294
2010-07-09,1.264398,88.57,-86.55578,0.1657591
2010-07-12,1.259002,88.639,-86.54335,0.1528886
2010-07-13,1.272087,88.793,-86.56555,0.1381917
2010-07-14,1.274048,88.27,-86.51542,0.1307995
2010-07-15,1.292858,87.34,-86.33235,0.1351871
2010-07-16,1.293193,86.56,-86.05307,0.1472827
2010-07-19,1.293946,86.76,-85.83768,0.1529996
2010-07-20,1.289308,87.242,-85.72619,0.1495152
2010-07-21,1.276797,86.861,-85.57784,0.1494174
2010-07-22,1.290306,87.124,-85.49119,0.1441485
2010-07-23,1.291306,87.52,-85.4836,0.1326863
2010-07-26,1.2999,86.998,-85.40468,0.1281725
2010-07-27,1.299089,87.816,-85.46863,0.1120461
2010-07-28,1.299224,87.452,-85.4799,0.1016948
2010-07-29,1.307805,86.683,-85.37774,0.1017339
2010-07-30,1.3039,86.44,-85.25433,0.1035527
2010-08-02,1.317593,86.598,-85.17086,0.1018674
2010-08-03,1.322506,85.78,-84.97428,0.1098175
2010-08-04,1.322506,85.78,-84.80143,0.1151084
2010-08-05,1.315807,86.3,-84.73246,0.1112358
2010-08-06,1.318131,85.833,-84.60475,0.1126185
2010-08-09,1.328568,85.344,-84.4183,0.118816
2010-08-10,1.322996,85.897,-84.342,0.1152469
2010-08-11,1.318496,85.36,-84.19806,0.1176554
