time,x,y,xv,yv,truex,truey,truexv,trueyv,measx,measy,measxv,measyv,gainx,gainy,gainxv,gainyv
3.4,169.8746,116.9089,49.92147,24.97732,170,113.2982,50,16.646,168.4415,113.5742,49.67145,16.75274,0.08856481,0.08856481,0.08953269,0.08953269
3.5,174.9821,118.4387,49.90481,23.87758,175,114.9137,50,15.665,176.4495,113.8357,49.35146,14.0394,0.0885117,0.0885117,0.08948898,0.08948898
3.6,180.0274,120.0172,50.00156,22.93617,180,116.4312,50,14.684,180.0735,116.3047,50.9619,14.4507,0.08846741,0.08846741,0.08945297,0.08945297
3.7,185.0124,121.3234,49.99047,21.95091,185,117.8505,50,13.703,184.9016,115.7738,49.90808,13.50479,0.08843049,0.08843049,0.08942329,0.08942329
3.8,190.0457,122.62,49.97477,21.00742,190,119.1718,50,12.722,190.5496,117.8622,49.68418,12.77035,0.08839971,0.08839971,0.08939881,0.08939881
3.9,195.051,124.0009,49.9676,20.102,195,120.395,50,11.741,195.1887,121.1222,49.85921,11.75109,0.08837406,0.08837406,0.08937862,0.08937862
4,199.9814,125.2053,49.94657,19.18729,200,121.52,50,10.76,199.3261,121.3645,49.90751,10.99441,0.0883527,0.0883527,0.08936196,0.08936196
4.1,205.0983,126.2645,50.00541,18.27614,205,122.547,50,9.779,206.1799,121.7651,50.31272,10.29123,0.0883349,0.0883349,0.0893482,0.0893482
4.2,210.0165,127.2245,49.95507,17.22842,210,123.4758,50,8.798,209.355,123.4822,49.6226,7.668279,0.08832009,0.08832009,0.08933684,0.08933684
4.3,215.1123,128.114,49.97629,16.33142,215,124.3066,50,7.817,216.1681,123.8353,49.91172,8.428743,0.08830776,0.08830776,0.08932745,0.08932745
4.4,219.9796,128.8468,49.93315,15.37716,220,125.0392,50,6.836,218.7037,124.132,49.83497,7.012079,0.0882975,0.0882975,0.08931968,0.08931968
4.5,224.9279,129.3917,49.87874,14.3635,225,125.6738,50,5.855,224.7342,123.9509,49.38203,5.590954,0.08828897,0.08828897,0.08931326,0.08931326
4.6,229.7719,129.9527,49.92694,13.38779,230,126.2102,50,4.874,227.7633,125.667,50.94152,4.692539,0.08828188,0.08828188,0.08930795,0.08930795
4.7,234.7144,130.6146,49.91586,12.50959,235,126.6485,50,3.893,234.1887,128.0749,49.94279,4.335639,0.08827599,0.08827599,0.08930354,0.08930354
4.8,239.8186,131.0814,49.89907,11.60081,240,126.9888,50,2.912,241.259,127.4603,49.3504,3.403475,0.0882711,0.0882711,0.0892999,0.0892999
4.9,244.6833,131.3635,49.8044,10.58076,245,127.2309,50,1.931,243.7896,127.324,49.08653,1.372823,0.08826704,0.08826704,0.08929687,0.08929687
5,249.7808,131.5829,49.83961,9.611197,250,127.375,50,0.95,250.9503,127.6943,49.88597,0.8717083,0.08826367,0.08826367,0.08929437,0.08929437
5.1,254.7756,131.7936,49.86548,8.711512,255,127.4209,50,-0.031,254.7418,128.516,50.13492,0.5145084,0.08826087,0.08826087,0.08929228,0.08929228
